source,title,url,date,summary,relevance_score,tags,relevance_reasons,crawled_at
anthropic,Press inquiries,https://www.anthropic.com/news/claude-4,,,1.0,"anthropic, blog",,2025-07-12T16:31:55.997908
anthropic,Advancing Claude for Education,https://www.anthropic.com/news/advancing-claude-for-education,,,1.0,"anthropic, blog",,2025-07-12T16:31:56.012601
anthropic,Advancing Claude for Education,https://www.anthropic.com/news/advancing-claude-for-education,,,1.0,"anthropic, blog",,2025-07-12T16:31:56.026994
